failures,V,AP,RH,PE,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
0.0,41.76,1024.07,73.17,463.26,16.4150898708,16.8081517337,9.50899113484,8.58869445153,20.8570361852,12.0497057214,17.5655342492,14.5289895969,10.9347951856,15.9213277132,13.2478432027,20.9309010991,12.4100465101,15.8079385876,19.3596430625,9.23839172717,12.2151968984,13.3657231218,12.3283264168,10.9439965262
0.0,62.96,1020.04,59.08,444.37,21.3442762015,27.0649462955,30.7227090585,23.4376385326,28.0723318519,22.9855796998,26.5662591737,32.638736161,33.890891796,22.6053324556,21.9581709755,23.0431015006,22.9709933444,29.4757586327,24.3991603682,28.6719623789,18.3678773013,34.486634438,21.0161020644,25.5673194214
0.0,39.4,1012.16,92.14,488.56,4.25905246239,9.73298356751,5.31438272615,2.14471847617,7.42683785714,4.34576540484,7.09968813538,7.82505632691,0.904560410924,4.41066486071,4.02160936203,6.84931005589,2.32302035331,5.32793816168,4.88842504855,3.74736439241,4.49216652264,5.0462601688,4.2056258387,2.62402048228
0.0,57.32,1010.24,76.64,446.48,21.169578977,15.5452385173,8.06197638036,11.6575623926,18.7925135052,7.70950411868,25.8920726247,23.2907255839,20.60505377,27.5908597288,26.5946501056,9.99548957794,18.8839762002,15.6834879996,20.789328952,19.8384165004,35.489917777,16.4600675491,21.5878835617,19.2039495149
0.0,37.5,1009.23,96.62,473.9,13.2698448948,10.9301689123,13.2669891428,11.9372492077,9.49928566952,10.411667693,7.32408718854,19.6162655157,2.65251589553,3.96397745918,15.8367393518,8.34353186989,2.86133027843,5.84999119968,12.4333517587,7.18775904466,10.8519659423,6.24736254213,10.0578078293,11.9558594043
0.0,59.44,1012.23,58.77,443.67,18.3851424091,25.0381137372,26.4965318811,26.2386743594,24.4111646818,21.2673609753,16.5591110817,20.7974534796,29.9223148557,16.7335541083,31.8150940773,20.9467687411,18.32763838,26.9424854571,24.1360201804,25.8035559902,25.9450084145,38.0568641696,27.8447272119,19.9030983954
0.0,43.96,1014.02,75.24,467.35,17.5307711481,12.0508078691,9.54107965689,16.9732650945,16.4042587096,14.8106061143,7.24925934702,17.3974823409,17.5987913496,21.7532079919,20.9276656985,8.74576890959,10.7010758581,14.5980431986,21.273432188,17.5521941273,14.992095015,12.231320786,17.9432234849,15.0226441466
0.0,44.71,1019.12,66.43,478.42,9.83917971731,10.7527497236,9.4264018589,9.13380110671,11.364312471,10.5925947491,8.03315076769,9.83491878702,10.8434778376,8.86052098414,6.88245898578,8.43535930168,10.9407639104,11.485831521,9.02155496201,9.16489354995,6.32349331507,8.55612204073,9.26602226804,9.98506359339
0.0,45.0,1021.78,41.25,475.98,13.3736194884,18.6088103672,15.2260038239,18.177315172,19.1909237417,11.9469929162,17.869383673,11.5413940058,14.0375103983,12.7830012408,13.6000134822,14.5209011379,18.622046494,9.30829780794,13.8627706136,18.5701607745,15.8868460117,12.6174395255,11.7135238408,13.0852841305
0.0,43.56,1015.14,70.72,477.5,9.68496458028,12.1671977423,9.31044661032,14.4446239224,11.3654229866,13.3959833583,13.4350967405,15.0096176059,16.5995335538,14.4582690257,10.9284810173,14.9589104773,18.4313296126,11.6322992817,12.6448221774,10.7204933183,13.7931238109,8.84437608798,14.3075416091,9.52790724431
0.0,43.72,1008.64,75.04,453.02,23.3094775686,15.2739985572,15.9211498206,13.3171057596,13.689644859,15.3894311557,13.1797304121,17.886129622,19.7881737953,21.0910450159,21.5582649503,15.9399435033,11.1447835924,12.2805605169,17.9270028078,17.782370821,14.2705713526,21.8502094892,12.3963099274,13.3006620049
0.0,46.93,1014.66,64.22,453.99,19.6547556966,9.75732393863,18.1967981622,22.9834276263,27.5281815359,25.3563608854,10.2030756779,13.5340032952,11.484180302,21.2497121302,28.3339053466,27.1248186355,18.2750654701,23.0770452247,20.4920119336,27.8855794301,20.0496426131,7.41843979417,13.6686703321,20.8663303908
0.0,73.5,1011.31,84.15,440.29,18.4216988347,18.4448170104,27.3825223242,31.5910983497,11.9760818857,35.5375988488,29.3376522193,22.5768220736,24.4605962271,28.0346747137,24.2315050352,19.791934613,24.5169344792,34.9632168731,28.1105200892,32.9279004822,21.415656975,31.2366207803,7.66784641108,25.3732662921
